circle,4278190335
circle,65535,285,136
circle,65535,288,144
circle,65535,291,153
circle,65535,293,159
circle,65535,295,166
circle,65535,297,173
circle,65535,298,178
circle,65535,300,182
circle,65535,302,189
circle,65535,303,193
circle,65535,306,199
circle,65535,307,203
circle,65535,308,205
circle,65535,310,207
circle,65535,311,208
circle,65535,312,209
circle,65535,314,210
circle,65535,315,211
circle,65535,319,211
circle,65535,323,212
circle,65535,327,212
circle,65535,331,212
circle,65535,337,210
circle,65535,343,207
circle,65535,350,204
circle,65535,356,201
circle,65535,361,200
circle,65535,365,199
circle,65535,370,197
circle,65535,375,195
circle,65535,383,186
circle,65535,389,180
circle,65535,393,175
circle,65535,395,170
circle,65535,396,167
circle,65535,398,161
circle,65535,399,157
circle,65535,401,150
circle,65535,402,147
circle,65535,403,145
circle,65535,403,144
circle,65535,403,143
circle,65535,403,142
circle,65535,404,141
circle,65535,404,140
circle,65535,404,139
circle,4278190335,432,305
circle,4278190335,451,310
circle,4278190335,479,312
circle,4278190335,490,312
circle,4278190335,502,309
circle,4278190335,512,304
circle,4278190335,516,301
circle,4278190335,532,295
circle,4278190335,550,288
circle,4278190335,562,286
circle,4278190335,565,284
circle,4278190335,566,284
circle,4278190335,567,284
circle,4278190335,568,283
